Event_type,cluster,num_events,avg_intensity,avg_lat,avg_lon,start_year,end_year,active_years,events_per_year,risk_score,risk_score_norm,risk_level,recent_events,growth_factor,time_risk_score
Fire,4769,396,7.158147122427295,33.80227610970961,-93.27329614222222,2026,2026,1,396.0,2834.6262604812086,1.0,High,396,1.0,5669.252520962417
Iceberg_A,6516,230,5.753143376444986,-66.99671869565218,-47.93496826086957,2026,2026,1,230.0,1323.2229765823467,0.4632912144792178,High,230,1.0,2646.4459531646935
Wildfire,4872,153,7.068653269968717,35.07462568797386,-94.75158316196078,2026,2026,1,153.0,1081.5039503052137,0.3774552722045632,High,153,1.0,2163.0079006104274
Fire,4770,152,6.95526854149838,33.62389058993421,-85.39445925217105,2026,2026,1,152.0,1057.2008183077537,0.3688250776048399,High,152,1.0,2114.4016366155074
Iceberg_D,1787,147,5.113231766410772,-70.24333333333334,-27.65530612244898,2026,2026,1,147.0,751.6450696623834,0.2603203148380786,High,147,1.0,1503.2901393247669
Wildfire,4873,100,6.739336627357173,7.490514934120088,24.447490423170507,2026,2026,1,100.0,673.9336627357173,0.23272450683829046,High,100,1.0,1347.8673254714347
Iceberg_B,9813,106,4.954573454009375,-72.54169811320754,-155.3459433962264,2026,2026,1,106.0,525.1847861249937,0.1799028478119995,High,106,1.0,1050.3695722499874
Iceberg_C,2766,76,4.234668496761352,-66.13967763157895,76.40407894736842,2026,2026,1,76.0,321.8348057538628,0.10769199438635098,High,76,1.0,643.6696115077256
