Event_type,cluster,num_events,avg_intensity,avg_lat,avg_lon,start_year,end_year,dominant_event_type,active_years,events_per_year,recent_events,growth_factor,recency_ratio,risk_score,risk_level
Prescribed_Fire,619,8,0.48219180503530373,44.286416,-85.354568,2026,2026,Prescribed_Fire,1,8.0,8.0,1.0,1.0,54.76,Medium
Prescribed_Fire,629,4,0.5486202220340347,36.90844475,-82.40644675,2026,2026,Prescribed_Fire,1,4.0,4.0,1.0,1.0,54.76,Medium
Iceberg_A,103,19,0.3312765826312275,-72.63052631578948,-92.08526315789473,2025,2026,Iceberg_A,2,9.5,19.0,2.0,1.0,54.71,Medium
Prescribed_Fire,618,5,0.5261828124738801,31.484997800000002,-110.2984028,2026,2026,Prescribed_Fire,1,5.0,5.0,1.0,1.0,54.69,Medium
Prescribed_Fire,635,4,0.4998390322168646,33.21057234350001,-98.69665758,2026,2026,Prescribed_Fire,1,4.0,4.0,1.0,1.0,52.92,Medium
Wildfire,844,130,0.5615900557574351,64.87445558056609,-151.7704174871387,2024,2025,Wildfire,2,65.0,60.0,0.9230769230769231,0.46153846153846156,52.44,Medium
Wildfire,849,52,0.5256902502014439,8.508128471864723,32.77093837170584,2024,2025,Wildfire,2,26.0,29.0,1.1153846153846154,0.5576923076923077,50.63,Medium
Wildfire,868,326,0.5091538632789331,44.66923645392839,-119.60772551891638,2023,2026,Wildfire,4,81.5,90.0,1.1042944785276074,0.27607361963190186,47.68,Medium
Wildfire,841,691,0.5256902502014439,-18.312117640501526,135.31161331753867,2024,2025,Wildfire,2,345.5,101.0,0.29232995658465993,0.14616497829232997,47.13,Medium
Wildfire,865,72,0.5451910616262136,44.53150701475717,-106.23813692068094,2024,2026,Wildfire,3,24.0,24.0,1.0,0.3333333333333333,44.85,Medium
Wildfire,842,857,0.5256902502014439,-13.957863179372332,-56.079694032907746,2024,2025,Wildfire,2,428.5,28.0,0.06534422403733955,0.03267211201866978,44.08,Medium
Wildfire,869,121,0.435816899371877,35.759078591631315,-118.81068517685075,2023,2026,Wildfire,4,30.25,42.0,1.3884297520661157,0.34710743801652894,43.95,Medium
Wildfire,845,82,0.5256902502014439,11.210766516411427,0.7971461149149736,2024,2025,Wildfire,2,41.0,25.0,0.6097560975609756,0.3048780487804878,43.67,Medium
Wildfire,851,128,0.5256902502014439,54.21583317326505,117.4474981659651,2024,2025,Wildfire,2,64.0,31.0,0.484375,0.2421875,43.34,Medium
