Event_type,lat,lon,intensity,year,month,day,hour,dayofweek,is_weekend,cluster
Cyclone,-16.5,173.8,4.564348191467836,2026,1,1,0,3,0,1913
Cyclone,-17.1,174.4,4.564348191467836,2026,1,1,0,3,0,1913
Cyclone,-18.1,174.8,4.61512051684126,2026,1,1,0,3,0,1913
Cyclone,-19.2,175.3,4.61512051684126,2026,1,1,0,3,0,1913
Cyclone,-20.0,175.9,4.564348191467836,2026,1,1,0,3,0,1913
Cyclone,-21.1,177.0,4.51085950651685,2026,1,1,0,3,0,1913
Cyclone,-22.2,177.4,4.394449154672439,2026,1,1,0,3,0,1913
Cyclone,-23.4,177.8,4.330733340286331,2026,1,1,0,3,0,1913
Cyclone,-24.4,178.4,4.330733340286331,2026,1,1,0,3,0,1913
Cyclone,-25.4,178.5,4.110873864173311,2026,1,1,0,3,0,1913
Cyclone,-26.2,178.8,4.02535169073515,2026,1,1,0,3,0,1913
Cyclone,-26.8,179.0,4.02535169073515,2026,1,1,0,3,0,1913
Wildfire,32.76539,-87.04236,7.409136443920128,2026,1,1,0,3,0,-1
Cyclone,-9.1,155.1,3.58351893845611,2026,1,1,0,3,0,1914
Cyclone,-9.1,154.9,3.713572066704308,2026,1,1,0,3,0,1914
Cyclone,-9.0,154.7,3.9318256327243257,2026,1,1,0,3,0,1914
Cyclone,-8.9,154.4,4.110873864173311,2026,1,1,0,3,0,1914
Cyclone,-8.8,154.2,4.189654742026425,2026,1,1,0,3,0,1914
Cyclone,-9.2,154.4,4.189654742026425,2026,1,1,0,3,0,1914
Cyclone,-9.3,154.6,4.330733340286331,2026,1,1,0,3,0,1914
Cyclone,-9.5,154.6,4.454347296253507,2026,1,1,0,3,0,1914
Cyclone,-9.5,154.7,4.51085950651685,2026,1,1,0,3,0,1914
Cyclone,-9.7,155.3,4.454347296253507,2026,1,1,0,3,0,1914
Cyclone,-9.7,155.5,4.564348191467836,2026,1,1,0,3,0,1914
Cyclone,-9.9,156.1,4.51085950651685,2026,1,1,0,3,0,1914
Cyclone,-9.9,156.4,4.51085950651685,2026,1,1,0,3,0,1914
Cyclone,-9.9,156.5,4.61512051684126,2026,1,1,0,3,0,1914
Cyclone,-9.7,156.3,4.709530201312334,2026,1,1,0,3,0,1914
Cyclone,-9.5,156.0,4.836281906951478,2026,1,1,0,3,0,1914
Cyclone,-9.0,155.9,4.7535901911063645,2026,1,1,0,3,0,1914
Cyclone,-8.6,155.9,4.709530201312334,2026,1,1,0,3,0,1914
Cyclone,-8.6,155.7,4.663439094112067,2026,1,1,0,3,0,1914
Cyclone,-8.6,155.5,4.61512051684126,2026,1,1,0,3,0,1914
Cyclone,-8.5,155.1,4.61512051684126,2026,1,1,0,3,0,1914
Cyclone,-8.5,154.7,4.564348191467836,2026,1,1,0,3,0,1914
Cyclone,-8.3,154.4,4.454347296253507,2026,1,1,0,3,0,1914
Cyclone,-8.2,154.4,4.394449154672439,2026,1,1,0,3,0,1914
Cyclone,-8.1,154.6,4.262679877041316,2026,1,1,0,3,0,1914
Cyclone,-8.3,154.5,4.02535169073515,2026,1,1,0,3,0,1914
Cyclone,-8.4,154.3,3.828641396489095,2026,1,1,0,3,0,1914
Cyclone,-8.2,154.2,3.713572066704308,2026,1,1,0,3,0,1914
Cyclone,-7.8,154.6,3.58351893845611,2026,1,1,0,3,0,1914
Fire,27.607297,-81.172485,7.496097345175956,2026,1,1,0,3,0,4771
Wildfire,26.228889,-81.279167,6.238324625039508,2026,1,1,0,3,0,-1
Wildfire,33.891678,-117.078415,8.337348564497175,2026,1,1,0,3,0,-1
Fire,42.8455985,-88.630401,6.688728243179767,2026,1,1,0,3,0,4774
Wildfire,27.652481,-81.350623,7.905810312658931,2026,1,1,0,3,0,-1
Fire,45.7153853,-92.6888328,6.487227293196927,2026,1,1,0,3,0,-1
Fire,31.407942,-95.537898,6.90875477931522,2026,1,1,0,3,0,4769
Fire,34.800258,-94.327475,7.246368080102461,2026,1,1,0,3,0,4769
Wildfire,38.396085,-75.97625,7.313886831633462,2026,1,1,0,3,0,-1
Fire,32.667308,-94.104296,6.234410725718371,2026,1,1,0,3,0,4769
Fire,34.421667,-81.528333,6.40902290290353,2026,1,1,0,3,0,4770
Wildfire,35.0475,-95.3977778,6.226536669287466,2026,1,1,0,3,0,4872
Wildfire,33.4077778,-86.5408333,7.824445930877619,2026,1,1,0,3,0,-1
Wildfire,32.2358333,-87.915,6.3473892096560105,2026,1,1,0,3,0,-1
Fire,34.805454,-94.248164,7.543802867501509,2026,1,1,0,3,0,4769
Fire,31.347207,-95.258555,7.2254814727822945,2026,1,1,0,3,0,4769
Fire,34.564167,-93.801389,8.241703159729818,2026,1,1,0,3,0,4769
Fire,31.5429,-88.8988,7.275864600546533,2026,1,1,0,3,0,4769
Fire,33.1173,-83.6958,6.218600119691729,2026,1,1,0,3,0,4770
Fire,31.413583,-94.193667,7.419380582918692,2026,1,1,0,3,0,4769
